"","mass.norm","Reach","Site","Distance","Bank","Sample","ID.x","Lab","NH4","NO3","Incubation","Initial.Wet","Soil.Wet.Tin","Soil.Dry.Tin","NH4Corrected","NO3Corrected","Dry_Weight","Water_Weight","GW","NH4_Conc","NO3_Conc","ID.y","Replicate","Weight","pctN","d15N","pctC","d13C","C.N","massN","massN2"
"41",148.301496666667,"Mid","2",10,"Right",74,"Mid2 RR 10m","83",0.29,0.06,"I",10.615,55.88,14.626,0.28,0.02,52.7763333333333,11.5223333333333,3.58035120201348,12.0819438206667,0.862995987190482,"M2-RR-10m",1,2.004,2.81,7.291,34.7825,-26.7816,10.614950510617,5.63124,28.1
"42",84.2427999333333,"Mid","2",20,"Left",40,"Mid2 RL 20m","137",0.34,0.39,"I",10.427,59.318,25.2,0.33,0.35,56.2143333333333,22.0963333333333,1.54405708337733,8.05158566715757,8.53956055607621,"M2-RL-20m",1,2.009,1.4986,8.3694,26.2757,-25.8308,15.035991318156,3.0106874,14.986
"43",56.7486166,"Mid","2",20,"Right",75,"Mid2 RR 20m","91",0.44,0.06,"I",10.735,50.896,25.569,0.43,0.02,47.7923333333333,22.4653333333333,1.12738144697015,8.5214161359773,0.396344936557084,"M2-RR-20m",1,2.011,1.1874,6.6966,22.6491,-26.8131,16.3575179109474,2.3878614,11.874
"44",120.8029999,"Mid","2",3,"Left",37,"Mid2 RL 3m","93",0.32,0.26,"I",10.185,57.176,14.83,0.31,0.22,54.0723333333333,11.7263333333333,3.61118849313511,14.0350361597632,9.96034824241261,"M2-RL-3m",1,2.042,2.2341,7.8012,33.2738,-27.502,12.7721289060096,4.5620322,22.341
"45",142.9444146,"Mid","2",3,"Right",72,"Mid2 RR 3m","75",0.11,0.05,"I",10.233,54.991,15.351,0.1,0.01,51.8873333333333,12.2473333333333,3.23662293832671,4.1401572738461,0.41401572738461,"M2-RR-3m",1,2.023,2.7549,7.7926,33.4607,-26.9679,10.4158012189337,5.5731627,27.549
"46",72.1685993333333,"Mid","2",6,"Left",38,"Mid2 RL 6m","86",0.25,0.14,"I",10.086,52.497,26.88,0.24,0.1,49.3933333333333,23.7763333333333,1.0774159177894,4.94328594357977,2.05970247649157,"M2-RL-6m",1,2.023,1.4611,11.8069,22.7046,-26.2009,13.3259265184721,2.9558053,14.611
"47",126.363861433333,"Mid","2",6,"Right",73,"Mid2 RR 6m","78",0.21,0.06,"I",10.028,57.214,18.88,0.2,0.02,54.1103333333333,15.7763333333333,2.42984216864924,6.84053085091592,0.684053085091592,"M2-RR-6m",1,2.009,2.3353,7.7742,32.5413,-26.8242,11.9496646932434,4.6916177,23.353
"48",147.5240127,"Mid","3",1,"Left",66,"Mid3 RL 1m ","44",0.32,0.14,"I",10.082,55.356,21.257,0.31,0.1,52.2523333333333,18.1533333333333,1.87838780756518,8.85042868820876,2.85497699619637,"M3-RL-1m",1,2.019,2.8233,5.341,34.1111,-27.9149,10.3610124667933,5.7002427,28.233
"49",116.715684166667,"Mid","3",1,"Right",41,"Mid3 RR 1m","35",0.99,0.06,"I",10.062,69.138,15.725,0.98,0.02,66.0343333333333,12.6213333333333,4.23196175787027,50.9572900289492,1.03994469446835,"M3-RR-1m",1,2.023,1.7675,5.4375,26.6395,-27.1692,12.9249879421188,3.5756525,17.675
"50",76.8194050666667,"Mid","3",10,"Left",69,"Mid3 RL 10m","105",0.34,0.09,"I",10.268,56.801,26.821,0.33,0.05,53.6973333333333,23.7173333333333,1.26405441870924,7.27637279094322,1.10248072590049,"M3-RL-10m",1,2.037,1.4306,9.6809,21.5173,-26.7974,12.8983172302336,2.9141322,14.306
"51",94.9835538666667,"Mid","3",10,"Right",44,"Mid3 RR 10m","76",0.24,0.09,"I",10.674,55.981,24.946,0.23,0.05,52.8773333333333,21.8423333333333,1.42086468173425,5.21640319279442,1.13400069408574,"M3-RR-10m",1,2.028,1.7963,9.1072,22.5765,-26.4868,10.7780760769787,3.6428964,17.963
"52",51.6168858,"Mid","3",20,"Left",70,"Mid3 RL 20m","126",0.36,0.11,"I",10.025,56.529,26.841,0.35,0.07,53.4253333333333,23.7373333333333,1.25068808627759,7.85776389224097,1.57155277844819,"M3-RL-20m",1,2.025,0.96615,4.9819,18.8978,-26.4548,16.7737509327195,1.95645375,9.6615
"53",68.8187258,"Mid","3",20,"Right",45,"Mid3 RR 20m","81",1.52,0.19,"I",10.357,52.994,20.91,1.51,0.15,49.8903333333333,17.8063333333333,1.80183080926262,40.8493243408956,4.05787990141347,"M3-RR-20m",1,2.027,1.3794,8.7301,20.7949,-26.0749,12.9279634149119,2.7960438,13.794
"54",150.829282733333,"Mid","3",3,"Left",67,"Mid3 RL 3m","80",1.28,0.76,"I",10.257,54.326,11.078,1.27,0.72,51.2223333333333,7.97433333333333,5.4234000752414,79.5331782739259,45.089675871832,"M3-RL-3m",1,2.085,2.9446,8.4403,34.4292,-27.6193,10.0268408936585,6.139491,29.446
"55",147.6591797,"Mid","3",3,"Right",42,"Mid3 RR 3m ","79",0.16,0.18,"I",10.103,73.954,27.153,0.15,0.14,70.8503333333333,24.0493333333333,1.94604147031103,4.37400990346089,4.08240924323017,"M3-RR-3m",1,2.003,2.0841,7.3554,21.9327,-27.1225,9.0247887435256,4.1744523,20.841
"56",113.726929066667,"Mid","3",6,"Left",68,"Mid3 RL 6m","100",1.01,0.41,"I",10.72,48.609,9.823,1,0.37,45.5053333333333,6.71933333333333,5.77229883917055,63.1744294698746,23.3745389038536,"M3-RL-6m",1,2.008,2.4992,6.2776,40.9887,-26.8875,14.0645756076818,5.0183936,24.992
"57",167.60057,"Mid","3",6,"Right",43,"Mid3 RR 6m","74",0.15,0.06,"I",10.634,65.247,19.725,0.14,0.02,62.1433333333333,16.6213333333333,2.73876945291192,4.92220917253779,0.70317273893397,"M3-RR-6m",1,2.043,2.697,6.8053,30.1267,-27.1203,9.5793075362354,5.509971,26.97
"58",96.1942088666667,"Up","1",1,"Left",11,"Up1 RL 1m","169",0.35,0.08,"I",10.037,47.603,15.147,0.34,0.04,44.4993333333333,12.0433333333333,2.69493495709936,12.5164679228234,1.47252563797922,"U1-RL-1m",1,2.02,2.1617,9.1103,32.9273,-26.6074,13.062436667396,4.366634,21.617
"59",147.126684366667,"Up","1",1,"Right",16,"Up1 RR 1m","178",0.15,0.08,"I",10.304,58.988,13.899,0.14,0.04,55.8843333333333,10.7953333333333,4.17671215957513,7.03357630377055,2.00959322964873,"U1-RR-1m",1,2.095,2.6327,7.9346,36.1738,-27.4096,11.7830103590333,5.5155065,26.327
"60",53.3116572,"Up","1",10,"Left",14,"Up1 RL 10m","155",0.21,0.21,"I",10.153,55.804,31.916,0.2,0.17,52.7003333333333,28.8123333333333,0.829089394587966,3.60305209216579,3.06259427834092,"U1-RL-10m",1,2.027,1.0116,8.5625,19.5884,-26.1955,16.6055644666594,2.0505132,10.116
